orig_symbol	logFC	logCPM	F	PValue	FDR
BC055402	-14.546637435715278	9.383265028645933	24708.25363649602	0	0
Gm29113	-14.546637435715278	9.383206140728491	24704.124457707534	0	0
Gm13185	-14.546637435715278	9.383313405450977	24711.64626939833	0	0
4930555B11Rik	-14.546637435715278	9.383551971256333	24728.382478162097	0	0
Ntrk1	-14.546637435715278	9.383375864934242	24716.027126465902	0	0
Gm42681	-14.546637435715278	9.38323331919322	24706.030109669577	0	0
4933401H06Rik	-14.546637435715278	9.38354191168614	24727.67658956444	0	0
Tfpi2	-14.546637435715278	9.383438390698974	24720.413289354045	0	0
Six5	-14.546637435715278	9.383290855803796	24710.06482460985	0	0
Gm4265	-14.546637435715278	9.38329010482563	24710.012158829177	0	0
Cilp	-14.546637435715278	9.383408018889732	24718.282636901182	0	0
Gm47818	-14.546637435715278	9.383709296322277	24739.423828489846	0	0
Tmigd1	-14.546637435715278	9.383386640828439	24716.78300634639	0	0
1700018A04Rik	-14.546637435715278	9.38328978139273	24709.989476648567	0	0
Slc16a8	-14.546637435715278	9.383191289018075	24703.083172618888	0	0
Mettl7a3	-14.546637435715278	9.3833818967907	24716.45023132192	0	0
Vmn2r97	-14.546637435715278	9.383672859679926	24736.866369732506	0	0
Gm15759	-14.546637435715278	9.38338349440122	24716.562296807264	0	0
Gm11587	-14.546637435715278	9.383499110685383	24724.67336771453	0	0
Platr12	-14.546637435715278	9.383898248639905	24752.688447572633	0	0
Cacna1s	-14.546637435715278	9.38343002992663	24719.826747189985	0	0
Itln1	-14.546637435715278	9.383359251346736	24714.861797322	0	0
Gm31406	-14.546637435715278	9.383368816167856	24715.53269816802	0	0
Gm13598	-14.546637435715278	9.383737716688113	24741.418735036517	0	0
Epb42	-14.546637435715278	9.38336479088645	24715.250352810817	0	0
Mageb3	-14.546637435715278	9.383529529581537	24726.80774626244	0	0
Pck1	-14.546637435715278	9.38338948403041	24716.98244723892	0	0
4930519L02Rik	-14.546637435715278	9.383265079850363	24708.25722720068	0	0
Gm12408	-14.546637435715278	9.383699230630178	24738.71731038255	0	0
Slc2a7	-14.546637435715278	9.38337232555152	24715.77885914298	0	0
Gm36548	-14.546637435715278	9.383695407582477	24738.448970952242	0	0
Galntl5	-14.546637435715278	9.383307630803184	24711.24127488372	0	0
Ambn	-14.546637435715278	9.383495904005873	24724.448375046784	0	0
1700016F12Rik	-14.546637435715278	9.384174813486197	24772.108402806647	0	0
Gm42596	-14.546637435715278	9.383249206312987	24707.144120776597	0	0
Oas3	-14.546637435715278	9.38338797575412	24716.87664664935	0	0
Gm15473	-14.546637435715278	9.383385375393248	24716.694240828492	0	0
Hyal6	-14.546637435715278	9.384031658645965	24762.055743633562	0	0
Clec2e	-14.546637435715278	9.383358654120217	24714.819906854198	0	0
4930441H08Rik	-14.546637435715278	9.383572700325253	24729.83709860323	0	0
Olfr45	-14.546637435715278	9.383418371019882	24719.008846074623	0	0
Gm15882	-14.546637435715278	9.383529614193634	24726.81368335822	0	0
Mgat4d	-14.546637435715278	9.383410222534875	24718.437222695098	0	0
Gm26815	-14.546637435715278	9.383605100285763	24732.11081597804	0	0
Mtnr1b	-14.546637435715278	9.383603856915768	24732.023558015604	0	0
Gm47079	-14.546637435715278	9.383308032746346	24711.26946424939	0	0
Gm1113	-14.546637435715278	9.383745790126172	24741.985448676285	0	0
Gcnt3	-14.546637435715278	9.383581261965979	24730.437911435878	0	0
Tgtp2	-14.546637435715278	9.383472961060338	24722.838656623804	0	0
Gm12356	-14.546637435715278	9.383353475015472	24714.456638339292	0	0
Gm11748	-14.546637435715278	9.383485420096347	24723.71279526424	0	0
Gm47847	-14.546637435715278	9.383430480894125	24719.858384109983	0	0
Gm47872	-14.546637435715278	9.383503154720227	24724.95711453617	0	0
Gm2270	-14.546637435715278	9.383442910428586	24720.73037135297	0	0
Gm46401	-14.546637435715278	9.383531308295854	24726.93255602123	0	0
