comparison	diff	lwr	upr	p.adj	Significance
  1-0	0	0	0	NA	NA
  2-0	0	0	0	NA	NA
  3-0	0	0	0	NA	NA
  4-0	0	0	0	NA	NA
  5-0	0	0	0	NA	NA
  6-0	0	0	0	NA	NA
  7-0	0	0	0	NA	NA
  H-0	0	0	0	NA	NA
  2-1	0	0	0	NA	NA
  3-1	0	0	0	NA	NA
  4-1	0	0	0	NA	NA
  5-1	0	0	0	NA	NA
  6-1	0	0	0	NA	NA
  7-1	0	0	0	NA	NA
  H-1	0	0	0	NA	NA
  3-2	0	0	0	NA	NA
  4-2	0	0	0	NA	NA
  5-2	0	0	0	NA	NA
  6-2	0	0	0	NA	NA
  7-2	0	0	0	NA	NA
  H-2	0	0	0	NA	NA
  4-3	0	0	0	NA	NA
  5-3	0	0	0	NA	NA
  6-3	0	0	0	NA	NA
  7-3	0	0	0	NA	NA
  H-3	0	0	0	NA	NA
  5-4	0	0	0	NA	NA
  6-4	0	0	0	NA	NA
  7-4	0	0	0	NA	NA
  H-4	0	0	0	NA	NA
  6-5	0	0	0	NA	NA
  7-5	0	0	0	NA	NA
  H-5	0	0	0	NA	NA
  7-6	0	0	0	NA	NA
  H-6	0	0	0	NA	NA
  H-7	0	0	0	NA	NA
