comparison	diff	lwr	upr	p.adj	Significance
 1-0	-2.249999999999659	-1638.9920700046414	1634.4920700046423	1	NS
 2-0	-4.499999999999659	-1641.2420700046414	1632.2420700046423	1	NS
 3-0	-6.250000000000568	-1642.9920700046423	1630.4920700046414	1	NS
 4-0	1248.7500000000005	-387.9920700046414	2885.4920700046423	0.17697402734816958	NS
 5-0	4510.750000000001	2874.007929995359	6147.492070004642	3.5158132480117565e-5	S
 6-0	-3.7499999999994316	-1640.4920700046414	1632.9920700046423	1	NS
 7-0	1833.0000000000005	196.2579299953586	3469.7420700046423	0.02643094745441621	S
 H-0	2795.0000000000005	1158.2579299953586	4431.742070004642	0.0015602660187068462	S
 2-1	-2.25	-1638.9920700046418	1634.4920700046418	1	NS
 3-1	-4.0000000000009095	-1640.7420700046428	1632.742070004641	1	NS
 4-1	1251.0000000000002	-385.7420700046416	2887.7420700046423	0.17571645426809657	NS
 5-1	4513	2876.257929995358	6149.742070004642	3.501188845522751e-5	S
 6-1	-1.4999999999997726	-1638.2420700046416	1635.242070004642	1	NS
 7-1	1835.25	198.50792999535815	3471.992070004642	0.0262405946889126	S
 H-1	2797.25	1160.5079299953582	4433.992070004642	0.0015509980820219704	S
 3-2	-1.7500000000009095	-1638.4920700046428	1634.992070004641	1	NS
 4-2	1253.2500000000002	-383.4920700046416	2889.9920700046423	0.17446700506265833	NS
 5-2	4515.25	2878.507929995358	6151.992070004642	3.4866309967185316e-5	S
 6-2	0.7500000000002274	-1635.9920700046416	1637.492070004642	1	NS
 7-2	1837.5	200.75792999535815	3474.242070004642	0.02605166950314597	S
 H-2	2799.5	1162.7579299953582	4436.242070004642	0.0015417898671070684	S
 4-3	1255.0000000000011	-381.7420700046407	2891.742070004643	0.17350080388944045	NS
 5-3	4517.000000000002	2880.25792999536	6153.742070004644	3.4753540269383265e-5	S
 6-3	2.500000000001137	-1634.2420700046407	1639.242070004643	1	NS
 7-3	1839.250000000001	202.50792999535906	3475.9920700046428	0.025905707718313797	S
 H-3	2801.250000000001	1164.507929995359	4437.992070004642	0.0015346689471893438	S
 5-4	3262	1625.2579299953582	4898.742070004642	4.823280419536946e-4	S
 6-4	-1252.5	-2889.242070004642	384.24207000464185	0.17488258777697696	NS
 7-4	584.2499999999998	-1052.492070004642	2220.9920700046414	0.8682705606063458	NS
 H-4	1546.2499999999998	-90.49207000464207	3182.9920700046414	0.06728983771485919	NS
 6-5	-4514.5	-6151.242070004642	-2877.757929995358	3.491476238504099e-5	S
 7-5	-2677.7500000000005	-4314.492070004642	-1041.0079299953586	0.002137302031306687	S
 H-5	-1715.7500000000005	-3352.4920700046423	-79.00792999535861	0.03862609290854313	S
 7-6	1836.7499999999998	200.00792999535793	3473.4920700046414	0.0261144866159152	S
 H-6	2798.75	1162.0079299953582	4435.492070004642	0.00154485266184623	S
 H-7	962	-674.7420700046418	2598.742070004642	0.41371222872478086	NS
