comparison	diff	lwr	upr	p.adj	Significance
  1-0	-0.09136053228911867	-0.369317280072402	0.18659621549416466	0.9083566542981399	NS
  2-0	-0.08731364580910991	-0.3652703935923932	0.19064310197417342	0.9258900005379982	NS
  3-0	0.10402011208699391	-0.17393663569628942	0.38197685987027724	0.8401608873202491	NS
  4-0	0.09660402006216987	-0.18135272772111347	0.3745607678454532	0.8824640302969595	NS
  5-0	-0.014941526135555994	-0.2928982739188393	0.26301522164772734	0.99999964628565	NS
  6-0	-0.09558969402193246	-0.3735464418052158	0.18236705376135087	0.887744687860907	NS
  7-0	0.23972639458266096	-0.038230353200622375	0.5176831423659443	0.10464644480893981	NS
  H-0	-0.09364134043755393	-0.3715980882208373	0.1843154073457294	0.897525650020867	NS
  2-1	0.004046886480008741	-0.2739098613032746	0.28200363426329206	0.99999999998915	NS
  3-1	0.19538064437611258	-0.08257610340717075	0.4733373921593959	0.24034325639628507	NS
  4-1	0.18796455235128853	-0.0899921954319948	0.4659213001345719	0.27422792304414156	NS
  5-1	0.07641900615356267	-0.20153774162972066	0.354375753936846	0.9622836528609688	NS
  6-1	-0.004229161732813805	-0.2821859095160971	0.27372758605046954	0.9999999999845468	NS
  7-1	0.3310869268717796	0.053130179088496265	0.6090436746550629	0.018229429973775302	S
  H-1	-0.0022808081484352594	-0.2802375559317186	0.27567593963484804	1	NS
  3-2	0.19133375789610382	-0.08662298988717951	0.4692905056793871	0.2583743535275186	NS
  4-2	0.18391766587127978	-0.09403908191200355	0.4618744136545631	0.29430089369188095	NS
  5-2	0.07237211967355392	-0.2055846281097294	0.3503288674568372	0.9719521645075582	NS
  6-2	-0.008276048212822545	-0.28623279599610585	0.2696806995704608	0.9999999967127449	NS
  7-2	0.32704004039177087	0.04908329260848754	0.6049967881750542	0.019656943142920213	S
  H-2	-0.006327694628444	-0.28428444241172734	0.2716290531548393	0.9999999996127285	NS
  4-3	-0.007416092024824045	-0.28537283980810735	0.2705406557584593	0.9999999986276473	NS
  5-3	-0.1189616382225499	-0.39691838600583323	0.15899510956073343	0.7390042332444278	NS
  6-3	-0.19960980610892637	-0.4775665538922097	0.07834694167435696	0.2226498835250108	NS
  7-3	0.13570628249566705	-0.14225046528761628	0.41366303027895035	0.6126777103844501	NS
  H-3	-0.19766145252454784	-0.4756182003078312	0.0802952952587355	0.23065741488559688	NS
  5-4	-0.11154554619772586	-0.3895022939810092	0.16641120158555747	0.7914106391471556	NS
  6-4	-0.19219371408410232	-0.4701504618673856	0.08576303369918101	0.2544511906831055	NS
  7-4	0.1431223745204911	-0.13483437326279224	0.4210791223037744	0.5565125681653418	NS
  H-4	-0.1902453604997238	-0.4682021082830071	0.08771138728355954	0.2634112806972517	NS
  6-5	-0.08064816788637647	-0.3586049156696598	0.19730857989690687	0.9500052697075643	NS
  7-5	0.254667920718217	-0.023288827065066353	0.5326246685015004	0.07843310375943735	NS
  H-5	-0.07869981430199793	-0.3566565620852813	0.1992569334812854	0.9559464126265167	NS
  7-6	0.33531608860459344	0.05735934082131011	0.6132728363878768	0.01685351740266272	S
  H-6	0.0019483535843785454	-0.27600839419890477	0.2799051013676619	1	NS
  H-7	-0.3333677350202149	-0.6113244828034983	-0.05541098723693155	0.017473294993561872	S
