cluster	gene	avg_log2FC	pct.1	pct.2	pct.diff	p_val	p_val_adj
0	Lypd6b	3.32321328535107	0.618	0.091	0.527	9.59419421040668e-42	2.25386810390874e-37
0	Adarb2	3.32313959491205	0.691	0.243	0.448	1.56834099142616e-28	3.68434665705834e-24
0	Kcnh7	1.53152485727168	0.973	0.623	0.35	6.34730071960923e-27	1.4911078850506e-22
0	Cntn6	1.56905078318481	0.945	0.59	0.355	1.04989041271024e-26	2.46640255753889e-22
0	6330576A10Rik	2.63425666576717	0.527	0.116	0.411	4.98631957971493e-26	1.17138619566663e-21
0	Slit2	2.94766139058749	0.564	0.156	0.408	1.69882160205114e-24	3.99087170753853e-20
0	Elavl2	1.7235102291383	0.827	0.371	0.456	4.47344044593506e-24	1.05090062955906e-19
0	Cacna2d3	1.31840457085464	0.973	0.588	0.385	5.08176053074151e-24	1.1938071838818e-19
0	Syt2	1.57833330055328	0.827	0.371	0.456	3.05556195064151e-22	7.17812613444704e-18
0	Scn9a	1.44512483255582	0.9	0.51	0.39	3.24037251963187e-22	7.61228312311919e-18
0	Zmat4	1.31867416766788	0.9	0.473	0.427	5.02658302048659e-21	1.18084488317271e-16
0	Elavl4	1.48223467908233	0.873	0.424	0.449	6.93747164523367e-21	1.62975083889829e-16
0	Pcdh9	1.14876689988934	0.991	0.947	0.044	1.16082789814665e-20	2.72701689832611e-16
0	Cntn5	2.02265873759237	0.891	0.732	0.159	5.28202506733013e-20	1.24085332881719e-15
0	Ptprt	1.74407949356289	0.864	0.669	0.195	2.69992300123591e-19	6.3426591145034e-15
0	Lypd6	4.05120360599554	0.227	0.019	0.208	3.040841259652e-19	7.14354428717449e-15
0	Cdh4	1.57030319593138	0.691	0.245	0.446	3.10125324263378e-19	7.28546411759527e-15
0	Adcy2	1.83030180944239	0.627	0.21	0.417	3.98801000810706e-19	9.36863311104511e-15
0	Col25a1	1.75620651043535	0.509	0.145	0.364	1.12872644446542e-18	2.65160416333818e-14
0	Gm48003	1.60294906384887	0.691	0.261	0.43	1.84761158247757e-18	4.34040912955631e-14
0	Bcan	2.24954926674847	0.418	0.091	0.327	2.01214983246564e-18	4.72694238642829e-14
0	Adamts3	1.69612466051463	0.5	0.133	0.367	5.98357195548448e-18	1.40566072378241e-13
0	Lrtm1	1.25256008796196	0.891	0.461	0.43	7.89577222826114e-18	1.85487481186311e-13
0	4930488N15Rik	2.56335968070288	0.309	0.051	0.258	2.14759264564518e-17	5.04512464314966e-13
0	Sema3e	1.07948631348545	0.409	0.093	0.316	7.24344636990679e-17	1.7016304212185e-12
0	Magi3	1.25771208298412	0.8	0.406	0.394	1.01952419756075e-16	2.3950662449097e-12
0	Gm49678	1.86631520314214	0.455	0.124	0.331	1.88364190123111e-16	4.42505155437213e-12
0	Tcf4	1.4926117808954	0.855	0.581	0.274	2.38345035511394e-16	5.59920157423366e-12
0	St8sia5	2.21054561744628	0.373	0.084	0.289	3.18199076369497e-16	7.47513270207222e-12
0	Pbx3	2.0562585703596	0.573	0.219	0.354	5.01944638242563e-16	1.17916834415943e-11
0	Pex5l	1.10925816118525	0.927	0.66	0.267	1.22743065106362e-15	2.88348008547865e-11
0	Nfib	1.68230296201411	0.591	0.231	0.36	1.38798104167144e-15	3.26064506309454e-11
0	9530059O14Rik	1.18000725464372	0.818	0.448	0.37	1.96642545291574e-15	4.61952667398967e-11
0	Gm48006	1.39093170765123	0.691	0.289	0.402	2.18751905392232e-15	5.13891976147433e-11
0	Cntn4	1.13871154984581	0.918	0.743	0.175	6.60086661954838e-15	1.55067558626431e-10
0	Ldlrad4	1.10178440845858	0.882	0.59	0.292	7.57972292426873e-15	1.78062850936921e-10
0	Gad2	1.26998471917826	0.736	0.357	0.379	1.18506781855804e-14	2.78396131935656e-10
0	Osbpl1a	1.26544874800765	0.664	0.271	0.393	1.22319605413556e-14	2.87353217037527e-10
0	Arl15	1.26375960990983	0.918	0.736	0.182	1.88563145039783e-14	4.42972540327457e-10
0	Camk4	1.40743906009173	0.673	0.31	0.363	2.93938545354925e-14	6.90520430747791e-10
0	Pdzrn3	2.23157520036651	0.273	0.051	0.222	4.36067171045352e-14	1.02440899821974e-09
0	Gm44593	2.07018814778525	0.282	0.054	0.228	5.91742766666746e-14	1.39012210745352e-09
0	4930419G24Rik	1.06976255022671	0.873	0.536	0.337	7.08061673529474e-14	1.66337848345544e-09
0	Esrrg	1.24824820625059	0.855	0.594	0.261	9.43694393837571e-14	2.21692687000322e-09
0	Clmp	1.19768328711289	0.655	0.282	0.373	1.2002293268546e-13	2.81957873464682e-09
0	Zfyve28	1.10913227309506	0.7	0.313	0.387	2.01223597199503e-13	4.72714474541071e-09
0	Crot	1.50721362174024	0.573	0.221	0.352	2.27007696163303e-13	5.3328647982683e-09
0	Gm13883	1.35404259361968	0.5	0.17	0.33	3.02074848520726e-13	7.0963423414489e-09
0	Tll1	2.04821782902248	0.382	0.11	0.272	3.21636762741982e-13	7.55589083033464e-09
0	Tanc1	1.58684516156912	0.427	0.128	0.299	3.99976702827334e-13	9.39625270281974e-09
0	Ppm1h	1.11608429753413	0.8	0.476	0.324	4.85031788296873e-13	1.13943667706701e-08
0	Zic4	1.93280195536271	0.309	0.072	0.237	8.3183018775913e-13	1.95413547708375e-08
0	Tbc1d4	1.18473337427134	0.618	0.261	0.357	8.47650005690218e-13	1.99129939336746e-08
0	Mitf	1.88971614060016	0.436	0.144	0.292	9.92625005661471e-13	2.33187466329993e-08
0	Gm4876	2.58598423921861	0.209	0.032	0.177	1.10863612044121e-12	2.6044079741405e-08
0	Il1rapl2	3.91666644239423	0.318	0.089	0.229	1.51966283107684e-12	3.5699919227657e-08
0	Myrip	1.20838084021727	0.655	0.287	0.368	1.97957072108515e-12	4.65040753797323e-08
0	Tmem44	1.88426430341931	0.355	0.096	0.259	2.06620410385644e-12	4.85392668077954e-08
0	Etv6	1.21942658527524	0.618	0.264	0.354	2.50945722379211e-12	5.89521691013243e-08
0	Ttc39c	1.2922943388437	0.527	0.198	0.329	2.54221034678833e-12	5.97216054667514e-08
0	Gm34299	1.45465440154539	0.491	0.179	0.312	2.83060010452438e-12	6.64964576554867e-08
0	Igsf21	1.68560263336498	0.427	0.138	0.289	3.3401006836568e-12	7.84656452604656e-08
0	Dpp10	1.56966704391215	0.945	0.844	0.101	3.3534565228789e-12	7.87794006354711e-08
0	Stard9	1.16952942817208	0.682	0.315	0.367	4.7160162072567e-12	1.10788652740874e-07
0	E230016M11Rik	1.35715986383082	0.509	0.198	0.311	5.42686496817617e-12	1.27487911832395e-07
0	Gm20635	2.00809645213697	0.273	0.061	0.212	7.34434872458817e-12	1.72533440238025e-07
0	Pip5kl1	1.71658166808531	0.255	0.053	0.202	1.27587316364882e-11	2.99728123604382e-07
0	Trim43c	1.43432295560312	0.373	0.11	0.263	1.49298327787931e-11	3.50731631639408e-07
0	Dach1	1.5616452934824	0.645	0.366	0.279	1.59494595232213e-11	3.74684703119515e-07
0	Rasgrf2	1.30558548450465	0.573	0.231	0.342	1.70238526482926e-11	3.99924346413689e-07
0	Rapgef4os1	1.08292330465216	0.7	0.342	0.358	2.19351683777115e-11	5.15300975529199e-07
0	Cyp4f16	2.38155948915106	0.2	0.033	0.167	3.1506038265099e-11	7.40139850923706e-07
0	Sgpp2	1.49234618896164	0.518	0.221	0.297	4.62496050760764e-11	1.08649572244719e-06
0	Ndst3	1.46028890013422	0.636	0.352	0.284	4.85134810299251e-11	1.139678696355e-06
0	Dnah7b	2.25172943325276	0.236	0.051	0.185	6.37868253703749e-11	1.49848010160085e-06
0	Arhgap22	1.59604573157159	0.309	0.082	0.227	8.75643210657737e-11	2.05706103047716e-06
0	Rab38	1.32109958842885	0.491	0.191	0.3	9.89090847086921e-11	2.3235722179766e-06
0	C78859	1.11958601343337	0.655	0.356	0.299	1.1360975716725e-10	2.66892041537303e-06
0	Rgs11	1.49948969189746	0.455	0.179	0.276	1.14528658539119e-10	2.69050724640098e-06
0	Lgi2	1.3673902299139	0.545	0.24	0.305	1.17213370957231e-10	2.75357651052726e-06
0	Arhgap26	1.23743466654053	0.764	0.483	0.281	1.39562628061574e-10	3.27860525842249e-06
0	Maf	2.93435547294238	0.382	0.144	0.238	1.82197378837072e-10	4.2801808236405e-06
0	Gm26633	1.76629050621544	0.291	0.079	0.212	2.04690441243812e-10	4.80858784569963e-06
0	Nxpe3	1.09867823869196	0.655	0.315	0.34	2.47044669148234e-10	5.80357336763032e-06
0	9330159M07Rik	1.5906746064201	0.291	0.077	0.214	2.74918064208839e-10	6.45837516439404e-06
0	Zswim6	1.11868122969847	0.682	0.399	0.283	2.9489423170328e-10	6.92765529117344e-06
0	Ccbe1	2.724658900964	0.236	0.058	0.178	2.99632997233413e-10	7.03897837100734e-06
0	A430090L17Rik	1.20913161488892	0.545	0.24	0.305	3.05803587677744e-10	7.18393788172557e-06
0	Gm47027	1.26348276498459	0.391	0.131	0.26	3.98715514459031e-10	9.36662486567155e-06
0	Ccdc136	1.03440904827252	0.691	0.384	0.307	6.85841852085996e-10	1.61117967892042e-05
0	Zfp423	1.31540530677823	0.409	0.149	0.26	7.68117505383472e-10	1.80446164364685e-05
0	Mcf2	1.30657013777146	0.436	0.168	0.268	8.11643609608262e-10	1.90671316769173e-05
0	Gm47134	1.4117431301919	0.318	0.095	0.223	9.38870461141925e-10	2.20559448731461e-05
0	Tpcn1	1.81719845911007	0.327	0.105	0.222	9.39401770564099e-10	2.20684263940918e-05
0	March3	1.25952201089815	0.573	0.259	0.314	9.78631598622473e-10	2.29900135148391e-05
0	Limk1	1.39401481680472	0.445	0.173	0.272	1.07693982305126e-09	2.52994703231202e-05
0	Gm46102	1.77338741076406	0.264	0.07	0.194	1.242812669596e-09	2.91961552341492e-05
0	Sh3rf3	1.39010903102733	0.645	0.343	0.302	1.26126526131571e-09	2.96296435188287e-05
0	Msra	1.56655920390282	0.564	0.273	0.291	1.35448310425711e-09	3.1819517085208e-05
0	Slc25a13	1.24521049327204	0.445	0.168	0.277	1.48486170740494e-09	3.48823712303569e-05
0	Klhl14	1.62270037934736	0.373	0.13	0.243	1.53498731538075e-09	3.60599220129245e-05
0	Nckap5	1.59964894463645	0.4	0.154	0.246	1.58084506793402e-09	3.7137212335906e-05
0	Dchs1	1.73638460793408	0.391	0.152	0.239	2.28960147569416e-09	5.37873178670073e-05
0	Gm48893	1.2527858400988	0.518	0.228	0.29	2.31649170227546e-09	5.44190230698552e-05
0	Gm26854	1.06708389570412	0.509	0.226	0.283	2.52192429866202e-09	5.92450456241681e-05
0	Wnt5a	1.64873552872783	0.218	0.049	0.169	2.60580362943025e-09	6.12155388625753e-05
0	Lactb2	1.71245802016011	0.264	0.072	0.192	2.70140262859149e-09	6.34613505508712e-05
0	Vash2	1.03688640876894	0.3	0.086	0.214	2.72225855149154e-09	6.39512978916394e-05
0	4930426D05Rik	1.60032029728231	0.264	0.072	0.192	2.92541843214972e-09	6.87239298080612e-05
0	Col19a1	1.15377841687901	0.445	0.175	0.27	3.75726913235951e-09	8.82657664573897e-05
0	Hcrtr2	1.16958502848262	0.436	0.173	0.263	4.30948911760687e-09	0.000101238518350821
0	1500009L16Rik	1.23287698146169	0.5	0.212	0.288	4.39065819679305e-09	0.000103145342359062
0	Stk10	1.10119901597219	0.373	0.13	0.243	4.63471236494892e-09	0.00010887866287738
0	Zic1	1.51146631380666	0.409	0.165	0.244	6.32676659856183e-09	0.000148628400933414
0	Nxph2	1.97954887527711	0.264	0.077	0.187	6.60730309925529e-09	0.000155218764407705
0	B230217O12Rik	1.2217315396054	0.345	0.117	0.228	8.01570247799529e-09	0.000188304882613065
0	Flt3	1.08222539490454	0.564	0.282	0.282	8.17208038620813e-09	0.000191978512432801
0	Stxbp6	1.12093953427711	0.527	0.25	0.277	8.32312431589086e-09	0.000195526836428908
0	4930551O13Rik	1.47089480195391	0.309	0.1	0.209	9.60391971876046e-09	0.000225615282033121
0	Sel1l3	1.51588439988532	0.236	0.061	0.175	1.06406237472949e-08	0.000249969533071451
0	Nrg4	2.02774312483276	0.227	0.06	0.167	1.07752717331733e-08	0.000253132683555707
0	Il15ra	1.38589442821284	0.218	0.053	0.165	1.0866438760924e-08	0.000255274379371626
0	Slc9a9	1.02992255092764	0.591	0.31	0.281	1.37818931574095e-08	0.000323764234053864
0	C79798	1.82122349056115	0.236	0.063	0.173	1.37847631778976e-08	0.000323831656575171
0	Gm46124	1.1266029195329	0.527	0.254	0.273	2.10865885020758e-08	0.000495366137090764
0	Dcbld1	1.24690552036714	0.255	0.072	0.183	2.43529321105314e-08	0.000572099081140603
0	Lgr5	1.49235475404183	0.355	0.135	0.22	2.49652496146643e-08	0.000586483643947693
0	Rps6ka1	1.51378730715507	0.245	0.068	0.177	2.7249001425813e-08	0.000640133541495199
0	Slc16a14	1.19046587680591	0.291	0.091	0.2	2.79912559142543e-08	0.000657570583937661
0	Tspan17	1.57398780775609	0.282	0.089	0.193	2.80321838791949e-08	0.000658532063690047
